,x,y,z
projectedLM-1,-15.349026679992676,17.772930145263672,-59.41893005371094
projectedLM-2,-15.297831535339355,25.16927146911621,-65.39441680908203
projectedLM-3,-14.051424026489258,35.48684310913086,-65.54000091552734
projectedLM-4,33.33173751831055,36.62225341796875,-66.14994812011719
projectedLM-5,-11.60788917541504,41.23046875,-63.12980270385742
projectedLM-6,-15.608062744140623,16.299015045166016,-54.53706741333008
projectedLM-7,28.547849655151367,42.23194885253906,-69.60807800292969
projectedLM-8,-9.214886665344238,49.01108169555664,-64.67533111572266
projectedLM-9,33.00801086425781,24.18668556213379,-60.0688705444336
projectedLM-10,-14.952781677246094,24.94579696655273,-56.94514083862305
projectedLM-11,27.18655014038086,43.63561630249024,-63.61183166503906
projectedLM-12,20.93190193176269,53.89787673950195,-64.45417022705078
projectedLM-13,15.328561782836914,60.3150749206543,-66.65292358398438
projectedLM-14,-6.6400227546691895,51.00746536254883,-61.30030059814453
projectedLM-15,-4.296185493469238,54.87285614013672,-63.60618591308594
projectedLM-16,-14.657465934753418,8.845032691955566,-53.29506301879883
projectedLM-17,31.51028060913086,31.84177589416504,-61.54854583740234
projectedLM-18,-12.693623542785645,33.97047805786133,-55.95232009887695
projectedLM-19,10.000179290771484,59.06728363037109,-62.724754333496094
projectedLM-20,2.2407140731811523,60.25450134277344,-65.38433074951172
projectedLM-21,-9.954360961914062,41.85104751586914,-55.20598602294922
projectedLM-22,-15.933697700500488,16.083505630493164,-48.465938568115234
projectedLM-23,34.805355072021484,18.2995662689209,-54.96847915649414
projectedLM-24,-7.643575191497803,48.70966339111328,-55.67045974731445
projectedLM-25,-3.6416265964508057,54.49961853027344,-55.304779052734375
projectedLM-26,-15.73582935333252,8.211569786071777,-46.67421340942383
projectedLM-27,-10.67446994781494,24.65773582458496,-48.12044143676758
projectedLM-28,27.32250213623047,38.45111083984375,-55.40934371948242
projectedLM-29,24.127931594848636,47.742374420166016,-55.743873596191406
projectedLM-30,16.58424949645996,56.13924789428711,-57.622684478759766
projectedLM-31,9.468950271606444,59.30823516845703,-54.96869659423828
projectedLM-32,29.441205978393555,24.508228302001957,-50.38248443603516
projectedLM-33,-8.335575103759766,34.54203414916992,-47.94724655151367
projectedLM-34,0.4280565083026886,58.32406234741211,-52.65909957885742
projectedLM-35,-7.545024394989014,43.199649810791016,-46.79611206054688
projectedLM-36,-12.283089637756348,10.94753074645996,-41.37181091308594
projectedLM-37,33.65480422973633,11.66746425628662,-47.49901580810547
projectedLM-38,-12.65119171142578,14.88249969482422,-44.45390701293945
projectedLM-39,-9.441695213317873,21.130115509033203,-44.67693328857422
projectedLM-40,20.431320190429688,52.365234375,-50.20588302612305
projectedLM-41,-4.8502936363220215,51.49979782104492,-48.14152908325195
projectedLM-42,14.691880226135254,56.92049026489258,-50.04220199584961
projectedLM-43,31.03730010986328,17.80596160888672,-47.57302474975586
projectedLM-44,-7.704288482666016,29.17255973815918,-42.32402801513672
projectedLM-45,25.021286010742188,33.0298957824707,-48.06768798828125
projectedLM-46,23.459117889404297,43.8652572631836,-48.27519989013672
projectedLM-47,-0.0087916487827897,54.94215774536133,-47.97562026977539
projectedLM-48,-11.16445541381836,13.220385551452637,-39.063079833984375
projectedLM-49,-6.7175140380859375,39.18828582763672,-40.873931884765625
projectedLM-50,9.987849235534668,56.39255142211914,-47.96424102783203
projectedLM-51,-11.13049030303955,15.822585105895996,-37.82406997680664
projectedLM-52,-8.923623085021973,21.341535568237305,-39.26897811889648
projectedLM-53,21.034687042236328,24.09136962890625,-45.664886474609375
projectedLM-54,-4.8259148597717285,46.62038040161133,-39.62348556518555
projectedLM-55,18.242265701293945,54.116981506347656,-44.39778900146485
projectedLM-56,31.10057640075684,10.04133129119873,-40.51640319824219
projectedLM-57,-8.283746719360352,26.70716667175293,-35.28297805786133
projectedLM-58,21.468090057373047,34.87196731567383,-43.0336799621582
projectedLM-59,-2.476734161376953,52.82463455200195,-38.74381637573242
projectedLM-60,0.5473406314849854,56.10660934448242,-39.065372467041016
projectedLM-61,9.52302360534668,57.693695068359375,-39.75798034667969
projectedLM-62,-13.845747947692873,13.935497283935549,-34.60520553588867
projectedLM-63,25.38969993591309,15.593958854675291,-40.60856628417969
projectedLM-64,20.652353286743164,44.60734939575195,-39.72726821899414
projectedLM-65,13.773758888244627,57.850006103515625,-39.86297225952149
projectedLM-66,-14.665654182434082,16.95549201965332,-30.092517852783203
projectedLM-67,-10.371678352355955,24.04434585571289,-31.392202377319336
projectedLM-68,-6.6934919357299805,34.90739440917969,-32.8221321105957
projectedLM-69,-5.40013313293457,42.2787971496582,-34.38846206665039
projectedLM-70,21.495718002319336,26.356969833374023,-38.45499420166016
projectedLM-71,17.955020904541016,53.235145568847656,-36.5940055847168
projectedLM-72,-3.2399072647094727,49.74815368652344,-32.8049201965332
projectedLM-73,31.19302749633789,15.96410846710205,-34.219635009765625
projectedLM-74,-9.426507949829102,31.129972457885746,-29.74616050720215
projectedLM-75,20.97707748413086,37.76615905761719,-35.75019836425781
projectedLM-76,-0.2858984768390655,56.56631851196289,-30.675968170166016
projectedLM-77,10.128572463989258,61.1045036315918,-29.958255767822266
projectedLM-78,2.863140344619751,61.2783088684082,-29.711938858032227
projectedLM-79,29.3781852722168,19.136375427246094,-35.10581970214844
projectedLM-80,-13.025020599365234,23.25351905822754,-28.97663307189941
projectedLM-81,-6.825229644775391,43.54230499267578,-28.21676254272461
projectedLM-82,14.34884262084961,59.12642288208008,-32.34346389770508
projectedLM-83,-17.246335983276367,20.04436492919922,-26.14849853515625
projectedLM-84,18.818628311157227,47.569122314453125,-32.35801315307617
projectedLM-85,-4.518228530883789,53.089962005615234,-26.71688461303711
