,x,y,z
0,-21.002620697021484,-27.726398468017575,-72.12983703613281
1,-19.952232943079395,-35.603276238582914,-69.89476295015507
2,-22.602415020549323,-37.99951604328773,-63.88717532552443
3,-24.226535779499827,-30.43369366561298,-59.904622030900626
4,-26.108731558293222,-30.666517827118344,-51.770377270034245
5,-28.916306511063496,-35.32036655277256,-45.521834026998555
6,-28.41150054185554,-30.218494098953116,-40.73595513583989
7,-28.37951407896984,-21.113196334724755,-37.550363404109284
8,-30.398065282339026,-14.513480817686368,-34.28387358111993
9,-32.86442565917969,-10.278944969177246,-27.84695053100586
