,x,y,z
0,4.006395057198546,16.87084066733464,-80.59377242011533
1,3.911625810050466,18.710487553571447,-77.74050538912425
2,4.4667733042467495,17.947906494296177,-74.7973124813536
3,5.1091803298469545,16.719167083585184,-71.95231971843072
4,5.297216953339535,17.077854890913276,-69.38178332426108
5,5.005012701516775,19.054377821447716,-66.97081575586228
6,4.728807811312563,20.64024612614914,-64.31621401254667
7,4.673570470287493,21.20851851398086,-61.34589560519648
8,4.706632923760717,21.71203433392646,-58.35648285686416
9,4.678836935750013,23.180791021077184,-55.66260600697041
