,x,y,z
projectedLM-1,-20.10391426086426,-18.034225463867188,-94.51110076904295
projectedLM-2,-16.10457420349121,-8.345325469970703,-88.46625518798828
projectedLM-3,-12.24129581451416,-0.516011118888855,-86.91962432861328
projectedLM-4,25.420778274536136,-10.589993476867676,-95.3204345703125
projectedLM-5,-9.372678756713867,4.319077014923096,-82.7960205078125
projectedLM-6,-20.035472869873047,-18.024364471435547,-89.85830688476562
projectedLM-7,22.814706802368164,-3.058145046234131,-91.58689880371094
projectedLM-8,-4.262011528015137,12.09571361541748,-82.03279876708984
projectedLM-9,25.95844078063965,-18.25865364074707,-97.89797973632812
projectedLM-10,-15.462240219116213,-9.321847915649414,-84.9304428100586
projectedLM-11,21.84217071533203,-2.96048903465271,-85.90138244628906
projectedLM-12,17.896793365478516,4.830327033996582,-84.17061614990234
projectedLM-13,14.105002403259276,9.723315238952637,-84.85010528564453
projectedLM-14,-2.48978590965271,13.680070877075195,-79.74237823486328
projectedLM-15,2.6541848182678223,15.59954833984375,-81.05631256103516
projectedLM-16,-21.17989158630371,-25.44775772094727,-91.71100616455078
projectedLM-17,25.53499984741211,-13.03732967376709,-87.5866928100586
projectedLM-18,-12.068755149841309,-3.081833600997925,-82.75933074951172
projectedLM-19,11.90081787109375,12.95132541656494,-81.04519653320312
projectedLM-20,8.539399147033691,14.505176544189451,-82.1138916015625
projectedLM-21,-9.057765007019045,4.49253511428833,-79.52178955078125
projectedLM-22,-20.036075592041016,-19.30483627319336,-83.29041290283203
projectedLM-23,27.8227481842041,-22.896860122680664,-88.78197479248047
projectedLM-24,-5.512909412384033,10.854246139526367,-78.8060531616211
projectedLM-25,0.6608526110649109,15.92641258239746,-76.71714782714844
projectedLM-26,-21.720027923583984,-27.17985153198243,-84.47321319580078
projectedLM-27,-15.535964965820312,-10.835440635681152,-79.3413314819336
projectedLM-28,22.62920570373535,-6.834405899047852,-81.86796569824219
projectedLM-29,19.60268211364746,1.0805758237838743,-79.02979278564453
projectedLM-30,16.19244384765625,8.455010414123535,-80.4323959350586
projectedLM-31,11.585801124572754,14.298315048217772,-76.87893676757812
projectedLM-32,24.77192497253418,-16.254627227783203,-78.56098175048828
projectedLM-33,-11.793075561523438,-2.92434024810791,-75.6539535522461
projectedLM-34,5.093320369720459,16.74700355529785,-75.44161987304688
projectedLM-35,-9.01455020904541,4.797049522399902,-73.58815002441406
projectedLM-36,-21.86713981628418,-30.67655372619629,-77.57991790771484
projectedLM-37,27.176782608032227,-30.78428268432617,-79.03944396972656
projectedLM-38,-21.60810661315918,-21.77281379699707,-77.1038589477539
projectedLM-39,-18.39031791687012,-14.805912971496582,-75.71865844726562
projectedLM-40,18.48754119873047,4.372830867767334,-74.42658996582031
projectedLM-41,-3.822837829589844,12.48703384399414,-71.70549774169922
projectedLM-42,15.307439804077148,10.976550102233888,-73.5040054321289
projectedLM-43,26.14619636535645,-23.9631462097168,-75.52882385253906
projectedLM-44,-14.643014907836914,-7.543423175811768,-73.0327377319336
projectedLM-45,22.34011840820313,-9.4890718460083,-75.98201751708984
projectedLM-46,20.1451358795166,-2.531142473220825,-73.61837005615234
projectedLM-47,2.23583984375,15.124194145202637,-70.9583511352539
projectedLM-48,-21.378637313842777,-35.12336349487305,-73.17597961425781
projectedLM-49,-11.18009662628174,0.7343526482582092,-70.64997863769531
projectedLM-50,10.644556999206545,15.172017097473145,-71.54212951660156
projectedLM-51,-23.68835830688477,-23.28329086303711,-70.60038757324219
projectedLM-52,-21.232393264770508,-16.98787498474121,-70.38639831542969
projectedLM-53,23.62291717529297,-15.729520797729492,-70.63799285888672
projectedLM-54,-7.281545639038086,8.202366828918457,-67.72735595703125
projectedLM-55,17.379863739013672,7.186047554016113,-69.09387969970703
projectedLM-56,26.68188095092773,-35.833621978759766,-69.80868530273438
projectedLM-57,-18.07681465148926,-9.395790100097656,-67.55997467041016
projectedLM-58,21.54684257507325,-8.166561126708984,-69.06625366210938
projectedLM-59,-3.255321264266968,13.541072845458984,-66.23298645019531
projectedLM-60,1.7896981239318848,18.276308059692383,-66.99612426757812
projectedLM-61,9.367826461791992,17.076461791992188,-66.24100494384766
projectedLM-62,-24.30279922485352,-30.47308158874512,-69.65176391601562
projectedLM-63,26.4370231628418,-25.50190162658692,-67.6934585571289
projectedLM-64,20.52890586853028,-2.530327796936035,-67.1544189453125
projectedLM-65,14.186508178710938,12.704590797424316,-66.06678009033203
projectedLM-66,-26.443584442138672,-22.89400291442871,-61.08209609985352
projectedLM-67,-21.13411903381348,-13.62013339996338,-65.6115951538086
projectedLM-68,-14.798532485961914,-2.226408004760742,-65.0747299194336
projectedLM-69,-10.851768493652344,3.4845447540283203,-64.88814544677734
projectedLM-70,24.493728637695312,-15.708130836486816,-65.09720611572266
projectedLM-71,18.862932205200195,4.568996429443359,-64.12664031982422
projectedLM-72,-7.082366466522217,9.281545639038086,-62.28078842163086
projectedLM-73,27.806442260742188,-32.535892486572266,-61.20458221435547
projectedLM-74,-19.26837539672852,-7.381749629974365,-61.67770385742188
projectedLM-75,23.00358009338379,-8.343365669250488,-63.37211608886719
projectedLM-76,-2.8798649311065674,15.251543998718262,-60.78251647949219
projectedLM-77,12.220179557800291,16.107654571533203,-61.50956726074219
projectedLM-78,3.448031902313233,19.890213012695312,-61.020355224609375
projectedLM-79,28.00343894958496,-25.38061141967773,-60.53807067871094
projectedLM-80,-24.94653701782227,-16.38895034790039,-59.11992645263672
projectedLM-81,-12.65396499633789,2.451477527618408,-60.48690032958985
