,x,y,z
projectedLM-1,-37.48928451538086,29.31380844116211,-100.0459976196289
projectedLM-2,-34.6049919128418,37.679317474365234,-95.16331481933594
projectedLM-3,-30.22681999206543,45.265869140625,-94.62629699707033
projectedLM-4,4.368380069732666,25.883901596069336,-100.75238800048828
projectedLM-5,-27.4786376953125,49.11418914794922,-91.85881805419922
projectedLM-6,-37.49317932128906,28.63146209716797,-95.67845916748048
projectedLM-7,1.1697527170181274,35.26659393310547,-97.30567169189452
projectedLM-8,-23.16291046142578,57.75350189208984,-90.7275848388672
projectedLM-9,8.14858341217041,13.645672798156738,-102.18531036376952
projectedLM-10,-34.69453430175781,34.51821517944336,-92.19960021972656
projectedLM-11,-0.6736742854118347,34.77377700805664,-92.22098541259766
projectedLM-12,-0.9428427815437316,42.950077056884766,-92.29562377929688
projectedLM-13,-2.0951430797576904,49.57329940795898,-93.19950103759766
projectedLM-14,-21.1865348815918,59.268699645996094,-87.5457763671875
projectedLM-15,-15.28759765625,62.06324768066406,-87.29378509521484
projectedLM-16,-40.26372909545898,23.114465713500977,-100.91471099853516
projectedLM-17,2.472463607788086,23.487749099731445,-93.78675079345705
projectedLM-18,-31.303306579589844,40.8878059387207,-91.37315368652344
projectedLM-19,-4.9274091720581055,53.1365852355957,-88.47513580322266
projectedLM-20,-7.2011895179748535,59.0237922668457,-90.18887329101562
projectedLM-21,-27.00602149963379,48.1334114074707,-89.16847229003906
projectedLM-22,-38.17472457885742,22.499181747436523,-93.38987731933594
projectedLM-23,6.710845470428467,11.013945579528809,-95.06573486328124
projectedLM-24,-24.134389877319336,55.3367919921875,-85.88008880615234
projectedLM-25,-19.0776424407959,59.98431015014648,-84.04121398925781
projectedLM-26,-40.23639678955078,10.238621711730955,-100.0926513671875
projectedLM-27,-31.710140228271484,29.562789916992188,-89.200927734375
projectedLM-28,-3.30730414390564,29.6181583404541,-88.850341796875
projectedLM-29,-4.490212917327881,37.14884185791016,-87.72068786621094
projectedLM-30,-4.657058238983154,45.84843444824219,-87.26398468017578
projectedLM-31,-6.664899349212647,53.80491638183594,-82.5344009399414
projectedLM-32,0.3396117687225342,19.78021240234375,-86.66191864013672
projectedLM-33,-27.80706024169922,38.9736213684082,-85.5514907836914
projectedLM-34,-12.149492263793944,59.30133438110352,-81.9945297241211
projectedLM-35,-26.99568748474121,48.14727020263672,-82.67617797851562
projectedLM-36,-39.754669189453125,10.433931350708008,-92.08116149902344
projectedLM-37,7.2106614112854,4.809918403625488,-88.80196380615234
projectedLM-38,-38.53837966918945,16.48198127746582,-89.40653991699219
projectedLM-39,-32.619224548339844,25.320905685424805,-86.56890106201172
projectedLM-40,-4.656087398529053,40.73799514770508,-82.24174499511719
projectedLM-41,-23.54254150390625,55.818603515625,-79.86875915527344
projectedLM-42,-5.311149597167969,48.65413284301758,-79.89196014404297
projectedLM-43,3.190013647079468,12.900140762329102,-83.06206512451172
projectedLM-44,-28.11448097229004,33.06370162963867,-83.19718933105469
projectedLM-45,-3.359828233718872,26.062055587768555,-83.10485076904297
projectedLM-46,-3.948998928070069,34.81785202026367,-80.75566864013672
projectedLM-47,-18.01885414123535,58.55617904663086,-77.38134765625
projectedLM-48,-40.974212646484375,6.5600666999816895,-82.50196075439453
projectedLM-49,-27.372447967529297,41.6699333190918,-79.02535247802734
projectedLM-50,-8.870943069458008,54.99771881103516,-77.14757537841797
projectedLM-51,-38.33249282836914,15.492385864257812,-80.26568603515625
projectedLM-52,-33.795982360839844,21.69868850708008,-80.63827514648438
projectedLM-53,-1.0023082494735718,19.8569393157959,-77.79126739501953
projectedLM-54,-26.414342880249023,50.16030883789063,-75.68328094482422
projectedLM-55,-5.97459888458252,44.2550048828125,-75.63902282714844
projectedLM-56,9.029362678527832,6.334071159362793,-77.65582275390625
projectedLM-57,-29.259441375732425,27.44671440124512,-75.65316009521484
projectedLM-58,-5.329610347747803,27.79119300842285,-75.0575942993164
projectedLM-59,-22.922706604003903,55.5379753112793,-73.2388687133789
projectedLM-60,-18.520946502685547,58.4443588256836,-71.01283264160156
projectedLM-61,-11.129764556884766,56.620399475097656,-71.3914794921875
projectedLM-62,-41.496864318847656,7.861092567443848,-76.29740142822266
projectedLM-63,4.943929672241211,13.811633110046388,-75.73039245605469
projectedLM-64,-6.79612922668457,33.954471588134766,-74.53776550292969
projectedLM-65,-7.980243682861328,50.98727416992188,-71.36097717285156
projectedLM-66,-40.8946647644043,14.025113105773926,-66.86414337158203
projectedLM-67,-32.56446838378906,22.799768447875977,-71.05908966064453
projectedLM-68,-26.98834991455078,34.497127532958984,-72.94661712646484
projectedLM-69,-26.781543731689453,42.9051399230957,-72.38188934326172
projectedLM-70,-1.5165603160858154,19.869829177856445,-70.36425018310547
projectedLM-71,-7.284884452819824,41.22067260742188,-70.21984100341797
projectedLM-72,-25.33391761779785,50.55714416503906,-69.61986541748047
projectedLM-73,9.967888832092283,8.405086517333984,-70.58753967285156
projectedLM-74,-28.300085067749023,28.829540252685547,-66.95217895507812
projectedLM-75,-5.566669940948486,26.94539833068848,-69.13740539550781
projectedLM-76,-22.20260238647461,56.9438362121582,-65.80774688720703
projectedLM-77,-9.745309829711914,55.55924224853516,-65.1829833984375
projectedLM-78,-17.427860260009766,60.61079025268555,-65.19374084472656
projectedLM-79,5.271046161651611,12.154401779174805,-68.85787200927734
projectedLM-80,-36.77361297607422,20.06375312805176,-62.96392822265625
projectedLM-81,-25.913312911987305,41.97801971435547,-64.26353454589844
projectedLM-82,-7.928330898284912,48.554176330566406,-65.1873550415039
projectedLM-83,-38.49370193481445,20.57470321655273,-59.529422760009766
projectedLM-84,-7.2915120124816895,34.028343200683594,-65.9848403930664
projectedLM-85,-24.48349952697754,51.19999694824219,-60.0040397644043
projectedLM-86,-11.580085754394531,59.97746658325195,-60.19488143920898
projectedLM-87,12.275315284729004,11.038609504699709,-64.63762664794922
projectedLM-88,3.786428928375244,17.475709915161133,-61.98014068603516
projectedLM-89,-32.87057113647461,26.307449340820312,-58.678558349609375
projectedLM-90,-3.305050134658813,23.691974639892575,-64.05575561523438
projectedLM-91,-28.02373313903809,32.47766876220703,-60.183135986328125
projectedLM-92,-7.465008735656738,41.40559005737305,-61.07990264892578
projectedLM-93,-20.36537742614746,59.307464599609375,-59.6839599609375
projectedLM-94,-3.4018986225128174,27.38669204711914,-59.23176956176758
projectedLM-95,-22.828523635864254,55.618385314941406,-54.49598693847656
projectedLM-96,-8.112783432006836,52.96810531616211,-58.77228546142578
projectedLM-97,-17.005046844482422,63.18397903442383,-56.66194534301758
projectedLM-98,-26.145347595214844,41.91430282592773,-56.66360855102539
projectedLM-99,-10.3889741897583,61.00393295288086,-55.28593826293945
projectedLM-100,10.270922660827637,17.542949676513672,-59.99463653564453
projectedLM-101,-6.3793816566467285,38.10901641845703,-57.19665145874024
projectedLM-102,-7.32581090927124,50.62837219238281,-55.13517761230469
