,x,y,z
projectedLM-1,-27.6343994140625,5.579588413238525,-101.05689239501952
projectedLM-2,-24.67576599121094,12.983161926269531,-98.98426818847656
projectedLM-3,-21.12299156188965,21.54154586791993,-99.25872802734376
projectedLM-4,11.415264129638672,11.575303077697754,-99.36587524414064
projectedLM-5,-20.01238059997559,24.286788940429688,-96.31366729736328
projectedLM-6,-31.00907325744629,0.6051243543624878,-99.03898620605467
projectedLM-7,8.40649700164795,19.36507606506348,-98.6283721923828
projectedLM-8,-16.464839935302734,30.7028923034668,-98.13713836669922
projectedLM-9,14.025775909423828,3.604264497756958,-99.69982147216795
projectedLM-10,-26.98123359680176,7.996854782104492,-95.99202728271484
projectedLM-11,9.991313934326172,19.020416259765625,-95.8948211669922
projectedLM-12,7.15659761428833,26.978185653686523,-95.67496490478516
projectedLM-13,2.508387327194214,32.91510391235352,-96.97486877441406
projectedLM-14,-14.966925621032717,32.45591354370117,-94.73019409179688
projectedLM-15,-9.514846801757812,36.11271286010742,-97.42328643798828
projectedLM-16,-32.99112701416016,-2.3300721645355225,-101.86894989013672
projectedLM-17,12.978779792785645,9.70783519744873,-96.71949768066406
projectedLM-18,-23.215879440307617,17.39016914367676,-94.81156158447266
projectedLM-19,0.2138580679893493,34.12322235107422,-93.9796371459961
projectedLM-20,-3.03171443939209,36.0810546875,-97.2112808227539
projectedLM-21,-20.86250495910645,23.4892578125,-92.81779479980467
projectedLM-22,-30.69144821166993,1.4621764421463013,-95.53272247314452
projectedLM-23,16.805513381958008,-1.6225194931030271,-97.29654693603516
projectedLM-24,-17.585662841796875,29.00117874145508,-92.39482879638672
projectedLM-25,-12.05077838897705,33.7336540222168,-90.76570129394533
projectedLM-26,-35.45043182373047,-4.606073379516602,-98.25831604003906
projectedLM-27,-26.796510696411136,8.942153930664062,-91.91860961914064
projectedLM-28,13.98422908782959,15.37026596069336,-93.77690887451172
projectedLM-29,11.724285125732422,22.0167465209961,-93.42362213134766
projectedLM-30,5.822736740112305,29.172006607055664,-92.60990142822266
projectedLM-31,-0.6586905121803284,33.33872985839844,-90.8635025024414
projectedLM-32,15.626317024230955,3.7856345176696777,-93.42141723632812
projectedLM-33,-24.11069679260254,15.529911041259766,-88.73214721679688
projectedLM-34,-6.957703590393066,33.64524459838867,-88.275634765625
projectedLM-35,-21.604331970214844,23.04961585998535,-87.38658142089844
projectedLM-36,-37.75044250488281,-5.379899501800537,-93.06226348876952
projectedLM-37,18.064023971557617,-7.940082550048828,-94.51544952392578
projectedLM-38,-33.105220794677734,-1.3940192461013796,-91.64289855957033
projectedLM-39,-28.823291778564457,4.307253360748291,-87.86068725585938
projectedLM-40,9.66670608520508,23.98252677917481,-89.2576904296875
projectedLM-41,-15.9419527053833,29.99485969543457,-85.1639404296875
projectedLM-42,4.110638618469238,29.111316680908203,-88.01008605957031
projectedLM-43,17.76810646057129,-4.244146823883057,-91.1578369140625
projectedLM-44,-25.26456832885743,9.39876937866211,-85.02890014648438
projectedLM-45,14.821768760681152,9.44326114654541,-88.99560546875
projectedLM-46,12.89572811126709,16.344623565673828,-88.4462661743164
projectedLM-47,-10.771289825439451,31.657360076904297,-84.16448211669922
projectedLM-48,-41.26435470581055,-6.841638088226318,-90.50092315673828
projectedLM-49,-23.26170349121094,17.10226821899414,-83.57894897460938
projectedLM-50,-1.5880950689315796,31.45809364318848,-85.75004577636719
projectedLM-51,-37.07094192504883,-4.55029821395874,-87.5254135131836
projectedLM-52,-32.35942459106445,0.2836072742938995,-84.7642822265625
projectedLM-53,17.34916877746582,2.5578691959381104,-85.29684448242188
projectedLM-54,-21.03083610534668,25.46455764770508,-81.99115753173828
projectedLM-55,8.002132415771484,24.496973037719727,-83.80674743652344
projectedLM-56,21.76070785522461,-12.002130508422852,-89.20023345947266
projectedLM-57,-27.38589096069336,4.841362476348877,-80.55242919921875
projectedLM-58,14.41500759124756,8.562066078186035,-83.90787506103516
projectedLM-59,-18.04261779785156,30.13833999633789,-77.36322784423828
projectedLM-60,-10.810040473937988,31.85114479064942,-79.54943084716797
projectedLM-61,-1.755154728889465,31.13836669921875,-80.41395568847656
projectedLM-62,-41.49430465698242,-7.437642097473145,-85.89583587646484
projectedLM-63,20.96885490417481,-5.968674659729004,-85.39065551757812
projectedLM-64,12.691729545593262,13.945844650268556,-82.84075927734375
projectedLM-65,4.556923389434815,28.21394920349121,-80.11741638183594
projectedLM-66,-39.97210311889649,-2.384523868560791,-79.64905548095703
projectedLM-67,-33.42156600952149,2.496278524398804,-77.94055938720703
projectedLM-68,-26.11814308166504,10.2108211517334,-77.89716339111328
projectedLM-69,-23.21633911132813,18.344921112060547,-78.76324462890625
projectedLM-70,19.85785865783692,2.449284791946411,-79.78749084472656
projectedLM-71,10.816047668457031,19.6114559173584,-78.54560089111328
projectedLM-72,-20.97852897644043,25.058744430541992,-76.16014099121094
projectedLM-73,22.86522674560547,-12.241584777832031,-83.14871215820312
projectedLM-74,-32.24900436401367,5.92569637298584,-72.13504791259766
projectedLM-75,16.96354103088379,8.120241165161133,-77.62674713134766
projectedLM-76,-15.47489070892334,30.432043075561523,-74.40962982177734
projectedLM-77,3.7703757286071777,29.183223724365234,-76.35650634765625
projectedLM-78,-7.801517963409424,32.25214767456055,-74.81155395507812
projectedLM-79,24.098716735839844,-6.105684280395508,-81.00357055664062
projectedLM-80,-41.30085754394531,0.7467713952064514,-72.787109375
projectedLM-81,-24.638790130615234,16.2535343170166,-71.33839416503906
projectedLM-82,8.523740768432617,24.47718620300293,-75.79652404785156
